全年风向,风向频率,平均风速
N,5.93%,2.47
NNE,8.03%,2.77
NE,8.49%,2.84
ENE,6.75%,2.80
E,8.58%,2.86
ESE,6.93%,3.03
SE,5.47%,2.85
SSE,5.57%,2.58
S,7.85%,2.75
SSW,10.40%,3.56
SW,3.47%,2.70
WSW,1.28%,1.62
W,2.65%,1.97
WNW,4.01%,2.53
NW,6.93%,2.71
NNW,5.11%,2.69
春季风向,春季风向频率,春季平均风速
N,6.17%,2.74
NNE,8.79%,3.01
NE,8.97%,3.23
ENE,6.17%,3.16
E,8.22%,2.96
ESE,6.36%,3.11
SE,6.36%,3.04
SSE,5.42%,2.69
S,6.92%,3.13
SSW,11.03%,3.62
SW,3.55%,2.91
WSW,0.93%,1.78
W,2.24%,1.92
WNW,5.98%,2.85
NW,8.41%,3.08
NNW,4.49%,3.05
夏季风向,夏季风向频率,夏季平均风速
N,6.38%,2.49
NNE,9.38%,2.68
NE,8.44%,2.99
ENE,6.00%,2.83
E,7.88%,2.82
ESE,7.88%,3.11
SE,5.82%,2.45
SSE,5.44%,2.66
S,7.32%,2.67
SSW,10.13%,3.58
SW,4.69%,2.80
WSW,0.75%,1.70
W,2.63%,2.11
WNW,4.32%,2.86
NW,8.07%,2.97
NNW,4.88%,2.39
秋季风向,秋季风向频率,秋季平均风速
N,7.52%,2.30
NNE,8.65%,2.61
NE,10.53%,2.51
ENE,10.15%,2.26
E,11.65%,2.79
ESE,6.02%,2.64
SE,3.76%,2.73
SSE,4.14%,1.68
S,9.02%,2.08
SSW,4.51%,2.50
SW,0.75%,1.50
WSW,2.26%,1.62
W,3.76%,1.83
WNW,3.38%,1.62
NW,7.52%,2.25
NNW,6.39%,2.76
冬季风向,冬季风向频率,冬季平均风速
N,8.27%,2.75
NNE,12.03%,2.88
NE,10.53%,3.44
ENE,6.77%,2.69
E,8.65%,2.87
ESE,6.02%,3.01
SE,5.64%,2.37
SSE,3.01%,2.08
S,5.26%,2.40
SSW,4.14%,2.79
SW,3.01%,3.20
WSW,0.38%,2.70
W,2.63%,1.97
WNW,7.52%,3.00
NW,12.03%,3.29
NNW,4.14%,2.89
